PlayerId,FirstName,LastName,CommonName,ShortName,Gender,BirthDate,BirthCity,BirthCountry,Nationality,Height,Weight,Status,Hand,YearPro,SinglesWorldRank,DoublesWorldRank
74560025,Brandon,Nakashima,Brandon Nakashima,B. Nakashima,male,,"San Diego, CA",United States,United States,188.0,83.0,active,Right,,15.0,
74560026,Arthur,Rinderknech,Arthur Rinderknech,A. Rinderknech,male,,Gassin,France,France,196.0,88.0,active,Right,,26.0,
74560026,Emil,Ruusuvuori,Emil Ruusuvuori,E. Ruusuvuori,male,,Helsinki,Finland,Finland,188.0,79.0,active,Right,,34.0,
74560027,João,Sousa,João Sousa,João Sousa,male,,Guimarães,Portugal,Portugal,185.0,74.0,active,Right,,39.0,
74560027,Márton,Fucsovics,Márton Fucsovics,M. Fucsovics,male,,Nyíregyháza,Hungary,Hungary,188.0,82.0,active,Right,,27.0,
74560027,Fabio,Fognini,Fabio Fognini,F. Fognini,male,,Sanremo,Italy,Italy,178.0,79.0,active,Right,,46.0,42.0
74560028,Marcos,Giron,Marcos Giron,M. Giron,male,,"Thousand Oaks, CA",United States,United States,180.0,77.0,active,Right,,23.0,
74560028,Tallon,Griekspoor,Tallon Griekspoor,T. Griekspoor,male,,Haarlem,Netherlands,Netherlands,188.0,85.0,active,Right,,14.0,45.0
74560029,Laslo,Djere,Laslo Djere,L. Djere,male,,Senta,FR Yugoslavia,Serbia,185.0,80.0,active,Right,,36.0,
74560029,Maxime,Cressy,Maxime Cressy,M. Cressy,male,,,France,United States,198.0,84.0,active,Right,,45.0,40.0
74560030,Federico,Coria,Federico Coria,F. Coria,male,,"Buenos Aires, Buenos Aires",Argentina,Argentina,180.0,73.0,active,Right,,47.0,
74560030,Nick,Kyrgios,Nick Kyrgios,N. Kyrgios,male,,"Canberra, ACT",Australia,Australia,193.0,85.0,active,Right,,43.0,37.0
74560031,Daniel,Altmaier,Daniel Altmaier,D. Altmaier,male,,Kempen,Germany,Germany,188.0,80.0,active,Right,,23.0,
74560031,Hugo,Gaston,Hugo Gaston,H. Gaston,male,,Toulouse,France,France,173.0,68.0,active,Left,,46.0,
74560032,Dušan,Lajović,Dušan Lajović,D. Lajović,male,,Beograd,SFR Yugoslavia,Serbia,183.0,83.0,active,Right,,45.0,
74560032,Jordan,Thompson,Jordan Thompson,J. Thompson,male,,"Sydney, NSW",Australia,Australia,183.0,82.0,active,Right,,36.0,20.0
74560033,Jiří,Vesely,Jiří Vesely,J. Vesely,male,,Příbram,Czech Republic,Czechia,198.0,94.0,active,Left,,31.0,
74560033,Adrian,Mannarino,Adrian Mannarino,A. Mannarino,male,,Soisy-sous-Montmorency,France,France,180.0,79.0,active,Left,,25.0,
74560034,Richard,Gasquet,Richard Gasquet,R. Gasquet,male,,Béziers,France,France,185.0,75.0,active,Right,,35.0,
74560034,Lorenzo,Musetti,Lorenzo Musetti,L. Musetti,male,,Carrara,Italy,Italy,185.0,78.0,active,Right,,2.0,45.0
74560034,Jaume,Munar,Jaume Munar,Jaume Munar,male,,Santanyi,Spain,Spain,183.0,76.0,active,Right,,17.0,47.0
74560035,James,Duckworth,James Duckworth,J. Duckworth,male,,"Sydney, NSW",Australia,Australia,183.0,82.0,active,Right,,46.0,
74560035,Jiří,Lehečka,Jiří Lehečka,J. Lehečka,male,,Mladá Boleslav,Czech Republic,Czechia,185.0,81.0,active,Right,,3.0,
74560036,Soonwoo,Kwon,Kwon Soonwoo,Kwon Soonwoo,male,,,Korea Republic,Korea Republic,,,active,Right,,46.0,
74560036,Benoît,Paire,Benoît Paire,B. Paire,male,,Avignon,France,France,196.0,80.0,active,Right,,44.0,
74560037,Tomás Martín,Etcheverry,Tomás Martín Etcheverry,T. Etcheverry,male,,"La Plata, Buenos Aires",Argentina,Argentina,196.0,82.0,active,Right,,29.0,
74560037,Alejandro,Tabilo,Alejandro Tabilo,A. Tabilo,male,,"Toronto, ON",Canada,Chile,188.0,75.0,active,Left,,39.0,
74560038,Denis,Kudla,Denis Kudla,D. Kudla,male,,,United States,United States,180.0,75.0,active,Right,,42.0,
74560038,Hugo,Dellien,Hugo Dellien,H. Dellien,male,,Trinidad ,Bolivia,Bolivia,178.0,75.0,active,Right,,46.0,
74560039,Thanasi,Kokkinakis,Thanasi Kokkinakis,T. Kokkinakis,male,,"Adelaide, SA",Australia,Australia,193.0,84.0,active,Right,,43.0,44.0
74560039,Kamil,Majchrzak,Kamil Majchrzak,K. Majchrzak,male,,Piotrków Trybunalski,Poland,Poland,183.0,74.0,active,Right,,28.0,
74560040,Quentin,Halys,Quentin Halys,Q. Halys,male,,Bondy,France,France,191.0,85.0,active,Right,,35.0,
74560040,John,Millman,John Millman,J. Millman,male,,"Brisbane, QLD",Australia,Australia,183.0,79.0,active,Right,,43.0,
74560041,Carlos,Taberner,Carlos Taberner,C. Taberner,male,,Valencia,Spain,Spain,183.0,78.0,active,Right,,46.0,
74560041,Federico,Delbonis,Federico Delbonis,F. Delbonis,male,,Azul,Argentina,Argentina,191.0,88.0,active,Left,,39.0,
74560041,Mikael,Ymer,Mikael Ymer,M. Ymer,male,,,Sweden,Sweden,183.0,75.0,active,Right,,40.0,
74560042,Roberto,Carballés Baena,Roberto Carballés Baena,Roberto Carballés Baena,male,,Tenerife,Spain,Spain,183.0,77.0,active,Right,,41.0,
74560042,Alexei,Popyrin,Alexei Popyrin,A. Popyrin,male,,"Sydney, NSW",Australia,Australia,196.0,78.0,active,Right,,19.0,
74560043,Steve,Johnson,Steve Johnson,S. Johnson,male,,"Orange, CA",United States,United States,188.0,86.0,active,Right,,43.0,21.0
74560043,Bernabé,Zapata Miralles,Bernabé Zapata Miralles,Bernabé Zapata Miralles,male,,,Spain,Spain,183.0,79.0,active,Right,,37.0,
74560044,Peter,Gojowczyk,Peter Gojowczyk,P. Gojowczyk,male,1989-07-15T00:00:00,München,Germany,Germany,188.0,83.0,active,Right,2006.0,41.0,
74560044,Thiago,Monteiro,Thiago Monteiro,Thiago Monteiro,male,,"Fortaleza, CE",Brazil,Brazil,183.0,78.0,active,Left,,44.0,
74560045,Chun-Hsin,Tseng,Tseng Chun-Hsin,Tseng Chun-Hsin,male,,Taipei City,Chinese Taipei,Chinese Taipei,175.0,65.0,active,Right,,46.0,
74560045,Henri,Laaksonen,Henri Laaksonen,H. Laaksonen,male,1992-03-31T00:00:00,,Switzerland,Switzerland,185.0,78.0,active,Right,2009.0,45.0,
74560046,Jack,Draper,Jack Draper,J. Draper,male,,Sutton,England,Great Britain,193.0,85.0,active,Left,,2.0,
74560046,Jason,Kubler,Jason Kubler,J. Kubler,male,,,Australia,Australia,178.0,74.0,active,Right,,45.0,14.0
74560047,Joe,Salisbury,Joe Salisbury,J. Salisbury,male,,London,Great Britain,Great Britain,193.0,84.0,active,Right,,,2.0
74560047,Rajeev,Ram,Rajeev Ram,R. Ram,male,,"Denver, CO",United States,United States,193.0,82.0,active,Right,,,14.0
74560048,Mate,Pavic,Mate Pavic,M. Pavic,male,,Split,Croatia,Croatia,193.0,83.0,active,Left,,,1.0
74560048,Horacio,Zeballos,Horacio Zeballos,H. Zeballos,male,,"Mar del Plata, Buenos Aires",Argentina,Argentina,188.0,83.0,active,Left,,,1.0
74560048,Marcel,Granollers,Marcel Granollers,Marcel Granollers,male,,Barcelona,Spain,Spain,191.0,77.0,active,Right,,,1.0
74560049,Nikola,Mektić,Nikola Mektić,N. Mektić,male,,Zagreb,Croatia,Croatia,183.0,80.0,active,Right,,,2.0
74560049,Wesley,Koolhof,Wesley Koolhof,W. Koolhof,male,,Duiven,Netherlands,Netherlands,183.0,78.0,active,Right,,,3.0
74560050,Neal,Skupski,Neal Skupski,N. Skupski,male,,Liverpool,England,Great Britain,183.0,82.0,active,Right,,,2.0
74560050,Michael,Venus,Michael Venus,M. Venus,male,,Auckland,New Zealand,New Zealand,191.0,,active,Right,,,5.0
74560051,Marcelo,Arevalo,Marcelo Arevalo,M. Arevalo,male,,"Sonsonate, Sonsonate",El Salvador,El Salvador,191.0,86.0,active,Right,,,1.0
74560051,Jean-Julien,Rojer,Jean-Julien Rojer,J. Rojer,male,,,Curaçao,Netherlands,185.0,82.0,active,Right,,,39.0
74560052,Juan Sebastian,Cabal,Juan Sebastian Cabal,Juan. Cabal,male,,"Cali, Valle del Cauca",Colombia,Colombia,185.0,82.0,active,Right,,,35.0
74560052,Robert,Farah,Robert  Farah,R. Farah,male,,"Montréal, QC",Canada,Colombia,,,active,,,,32.0
74560053,John,Peers,John Peers,J. Peers,male,,"Melbourne, VIC",Australia,Australia,188.0,84.0,active,Right,,,13.0
74560053,Nicolas,Mahut,Nicolas Mahut,N. Mahut,male,,,France,France,191.0,80.0,active,Right,,,28.0
74560054,Tim,Pütz,Tim Pütz,T. Pütz,male,,Frankfurt am Main,Germany,Germany,185.0,78.0,active,Right,,,3.0
74560054,Filip,Polášek,Filip Polášek,F. Polášek,male,,,Slovakia,Slovakia,196.0,85.0,active,Right,,,43.0
74560055,Ivan,Dodig,Ivan Dodig,I. Dodig,male,,Medjugorje,Bosnia and Herzegovina,Croatia,183.0,83.0,active,Right,,,33.0
74560055,Jamie,Murray,Jamie Murray,J. Murray,male,,Dunblane,Scotland,Great Britain,191.0,83.0,active,Left,,,18.0
74560055,Austin,Krajicek,Austin Krajicek,A. Krajicek,male,,"Tampa, FL",United States,United States,188.0,79.0,active,Left,,,27.0
74560056,Kevin,Krawietz,Kevin Krawietz,K. Krawietz,male,,Coburg,Germany,Germany,191.0,83.0,active,Right,,,3.0
74560056,Pierre-Hugues,Herbert,Pierre-Hugues Herbert,P. Herbert,male,,Schiltigheim,France,France,188.0,75.0,active,Right,,,40.0
74560057,Simone,Bolelli,Simone Bolelli,S. Bolelli,male,,Bologna,Italy,Italy,183.0,83.0,active,Right,,,3.0
74560057,Rohan,Bopanna,Rohan Bopanna,R. Bopanna,male,,"Bengaluru, Karnataka",India,India,191.0,86.0,active,Right,,,29.0
74560058,Matwe,Middelkoop,Matwe Middelkoop,M. Middelkoop,male,,Leerdam,Netherlands,Netherlands,191.0,85.0,active,Right,,,46.0
74560058,Santiago,Gonzalez,Santiago Gonzalez,S. Gonzalez,male,,"Córdoba, Veracruz",Mexico,Mexico,191.0,91.0,active,Right,,,17.0
74560059,Bruno,Soares,Bruno Soares,B. Soares,male,,"Belo Horizonte, MG",Brazil,Brazil,180.0,72.0,active,Right,,,42.0
74560059,Max,Purcell,Max Purcell,M. Purcell,male,,"Sydney, NSW",Australia,Australia,185.0,80.0,active,Right,,32.0,11.0
74560060,Maximo,Gonzalez,Maximo Gonzalez,M. Gonzalez,male,,"Tandil, Buenos Aires",Argentina,Argentina,175.0,75.0,active,Right,,,12.0
74560060,Matthew,Ebden,Matthew Ebden,M. Ebden,male,,"Durban, KwaZulu-Natal",South Africa,Australia,188.0,80.0,active,Right,,,25.0
74560061,Harri,Heliovaara,Harri Heliovaara,H. Heliovaara,male,,Helsinki,Finland,Finland,188.0,82.0,active,Right,,,2.0
74560061,Andreas,Mies,Andreas Mies,A. Mies,male,,,Germany,Germany,188.0,84.0,active,Right,,,44.0
74560062,Marcelo,Melo,Marcelo Melo,Marcelo Melo,male,,"Belo Horizonte, MG",Brazil,Brazil,203.0,87.0,active,Right,,,24.0
74560062,Andres,Molteni,Andres Molteni,A. Molteni,male,,"Buenos Aires, Buenos Aires",Argentina,Argentina,180.0,70.0,active,Right,,,4.0
74560062,Andrey,Golubev,Andrey Golubev,A. Golubev,male,,,Kazakhstan,Kazakhstan,183.0,79.0,active,Right,,,28.0
74560063,Rafael,Matos,Rafael Matos,Rafael Matos,male,,"Porto Alegre, RS",Brazil,Brazil,183.0,74.0,active,Left,,,22.0
74560063,Raven,Klaasen,Raven Klaasen,R. Klaasen,male,,"King William's Town, Eastern Cape",South Africa,South Africa,,71.0,active,Right,,,42.0
74560064,Sander,Gille,Sander Gille,S. Gille,male,,Hasselt,Belgium,Belgium,185.0,75.0,active,Right,,,27.0
74560064,Ben,Mclachlan,Ben Mclachlan,B. Mclachlan,male,,,Japan,Japan,185.0,78.0,active,Right,,,37.0
74560065,David,Vega Hernandez,David Vega Hernandez,D. Vega Hernandez,male,,,Spain,Spain,188.0,78.0,active,Right,,,46.0
74560065,Ariel,Behar,Ariel Behar,A. Behar,male,,Montevideo,Uruguay,Uruguay,183.0,86.0,active,Right,,,21.0
74560066,Gonzalo,Escobar,Gonzalo Escobar,G. Escobar,male,,,Ecuador,Ecuador,,,active,,,,43.0
74560066,Lloyd,Glasspool,Lloyd Glasspool,L. Glasspool,male,,Birmingham,Great Britain,Great Britain,191.0,85.0,active,Right,,,0.0
74560067,Edouard,Roger-Vasselin,Edouard Roger-Vasselin,E. Roger-Vasselin,male,,Gennevilliers,France,France,188.0,75.0,active,Right,,,4.0
74560067,Joran,Vliegen,Joran Vliegen,J. Vliegen,male,,Maaseik,Belgium,Belgium,193.0,79.0,active,Left,,,31.0
74560068,Fabrice,Martin,Fabrice Martin,F. Martin,male,,Bayonne,France,France,198.0,100.0,active,Right,,,13.0
74560068,Aisam-Ul-Haq,Qureshi,Aisam-Ul-Haq Qureshi,A. Qureshi,male,,Lahore,Pakistan,Pakistan,183.0,78.0,active,Right,,,45.0
74560069,Jan,Zielinski,Jan Zielinski,J. Zielinski,male,,Warszawa,Poland,Poland,183.0,78.0,active,,,,21.0
74560069,Jack,Sock,Jack Sock,J. Sock,male,,"Lincoln, NE",United States,United States,191.0,84.0,active,Right,,47.0,46.0
74560069,Tomislav,Brkic,Tomislav Brkic,T. Brkic,male,,,Bosnia and Herzegovina,Bosnia and Herzegovina,185.0,80.0,active,Right,,,40.0
74560070,Nikola,Ćaćić,Nikola Ćaćić,N. Ćaćić,male,,,Serbia,Serbia,185.0,75.0,active,Right,,,33.0
74560070,Robin,Haase,Robin Haase,R. Haase,male,,'s-Gravenhage,Netherlands,Netherlands,191.0,77.0,active,Right,,,31.0
74560071,Feliciano,Lopez,Feliciano Lopez,Feliciano Lopez,male,,Toledo,Spain,Spain,185.0,73.0,active,Left,,,34.0
74560071,Aleksandr,Nedovyesov,Aleksandr Nedovyesov,A. Nedovyesov,male,,,Soviet Union,Kazakhstan,193.0,81.0,active,Right,,,47.0
74560072,Hans,Hach Verdugo,Hans Hach Verdugo,H. Hach Verdugo,male,,,Mexico,Mexico,183.0,82.0,active,Left,,,45.0
74560072,Philipp,Oswald,Philipp Oswald,P. Oswald,male,,,Austria,Austria,,,active,,,,47.0
74560073,Hugo,Nys,Hugo Nys,H. Nys,male,,Évian-les-Bains,France,Monaco,185.0,77.0,active,Right,,,4.0
74560073,Francisco,Cabral,Francisco Cabral,Francisco Cabral,male,,Porto,Portugal,Portugal,191.0,,active,Right,,,14.0
74560074,André,Göransson,André Göransson,A. Göransson,male,,Räng,Sweden,Sweden,188.0,,active,Right,,,16.0
74560074,Jonny,O'Mara,Jonny O'Mara,J. O'Mara,male,,,Great Britain,Great Britain,183.0,80.0,active,Right,,,46.0
74560075,Roman,Jebavy,Roman Jebavy,R. Jebavy,male,,,Czechia,Czechia,185.0,90.0,active,Right,,,47.0
74560075,Luke,Saville,Luke Saville,L. Saville,male,,,Australia,Australia,188.0,83.0,active,Right,,,43.0
74560075,Miguel Angel,Reyes-Varela,Miguel Angel Reyes-Varela,M. Reyes-Varela,male,,"Guadalajara, Jalisco",Mexico,Mexico,175.0,73.0,active,Right,,,40.0
74560076,Sadio,Doumbia,Sadio Doumbia,S. Doumbia,male,,Toulouse,France,France,183.0,78.0,active,Right,,,11.0
74560076,Fabien,Reboul,Fabien Reboul,F. Reboul,male,,Toulouse,France,France,188.0,80.0,active,Right,,,12.0
74560077,Ramkumar,Ramanathan,Ramkumar Ramanathan,R. Ramanathan,male,,,India,India,188.0,80.0,active,Right,,,41.0
74560077,Sam,Querrey,Sam Querrey,S. Querrey,male,1987-10-07T00:00:00,"San Francisco, CA",United States,United States,198.0,95.0,active,Right,2006.0,46.0,41.0
74560078,Hunter,Reese,Hunter Reese,H. Reese,male,,,United States,United States,178.0,75.0,active,Right,,,47.0
74560078,Felipe,Meligeni Rodrigues Alves,Felipe Meligeni Rodrigues Alves,F. Meligeni Rodrigues Alves,male,1998-02-19T00:00:00,,Brazil,Brazil,185.0,78.0,active,Right,2015.0,,41.0
74560079,Jackson,Withrow,Jackson Withrow,J. Withrow,male,,"Omaha, NE",United States,United States,188.0,77.0,active,Right,,,41.0
74560079,Andrea,Vavassori,Andrea Vavassori,A. Vavassori,male,,Torino,Italy,Italy,193.0,78.0,active,Right,,,3.0
74560080,Alexander,Erler,Alexander Erler,A. Erler,male,,Innsbruck,Austria,Austria,193.0,83.0,active,Right,,,19.0
74560080,Marcus,Daniell,Marcus Daniell,M. Daniell,male,1989-11-09T00:00:00,,New Zealand,New Zealand,191.0,78.0,active,Right,2008.0,,39.0
74560081,Albano,Olivetti,Albano Olivetti,A. Olivetti,male,,Haguenau,France,France,203.0,104.0,active,Right,,,30.0
74560081,Szymon,Walkow,Szymon Walkow,S. Walkow,male,1995-09-22T00:00:00,,Poland,Poland,178.0,71.0,active,Right,,,47.0
74560082,Nathaniel,Lammons,Nathaniel Lammons,N. Lammons,male,,"Arlington, TX",United States,United States,180.0,84.0,active,Right,,,33.0
74560082,Nuno,Borges,Nuno Borges,Nuno Borges,male,,Maia,Portugal,Portugal,185.0,78.0,active,Right,,24.0,43.0
74560082,Robert,Galloway,Robert Galloway,R. Galloway,male,,"Columbia, SC",United States,United States,188.0,82.0,active,Right,,,15.0
74560083,Ivan,Sabanov,Ivan Sabanov,I. Sabanov,male,,,Croatia,Croatia,178.0,73.0,active,Right,,,41.0
74560083,Matej,Sabanov,Matej Sabanov,M. Sabanov,male,,,Croatia,Croatia,180.0,74.0,active,Right,,,42.0
74560084,Max,Schnur,Max Schnur,M. Schnur,male,1993-02-15T00:00:00,,United States,United States,196.0,93.0,active,Right,,,42.0
74560084,Diego,Hidalgo,Diego Hidalgo,D. Hidalgo,male,,Guayaquil,Ecuador,Ecuador,180.0,,active,Left,,,37.0
74560085,Denys,Molchanov,Denys Molchanov,D. Molchanov,male,,,Soviet Union,Ukraine,191.0,83.0,active,Right,,,46.0
74560085,Lukasz,Kubot,Lukasz Kubot,L. Kubot,male,1982-05-16T00:00:00,Bolesławiec,Poland,Poland,191.0,86.0,active,Right,2002.0,,47.0
74560086,Dominic,Thiem,Dominic Thiem,D. Thiem,male,,,Austria,Austria,185.0,79.0,active,Right,,45.0,
74560086,Stanislas,Wawrinka,Stan Wawrinka,S. Wawrinka,male,,Lausanne,Switzerland,Switzerland,183.0,81.0,active,Right,,44.0,
74560087,Tennys,Sandgren,Tennys Sandgren,T. Sandgren,male,,"Gallatin, TN",United States,United States,188.0,87.0,active,Right,,,
74560087,Gianluca,Mager,Gianluca Mager,G. Mager,male,,,Italy,Italy,188.0,77.0,active,Right,,,
74560088,Yoshihito,Nishioka,Yoshihito Nishioka,Y. Nishioka,male,,Mie,Japan,Japan,170.0,64.0,active,Left,,41.0,
74560088,Thiago,Seyboth Wild,Thiago Seyboth Wild,Thiago Seyboth Wild,male,,Marechal Cândido Rôndon,Brazil,Brazil,185.0,80.0,active,Right,,45.0,
74560089,Attila,Balázs,Attila Balázs,A. Balázs,male,,,Hungary,Hungary,180.0,78.0,active,Right,,,
74560089,Egor,Gerasimov,Egor Gerasimov,E. Gerasimov,male,,,Belarus,Belarus,183.0,84.0,active,Right,,,
74560089,Jeffrey John,Wolf,JJ Wolf,J. Wolf,male,,,United States,United States,,,active,,,45.0,
74560090,Vasek,Pospisil,Vasek Pospisil,V. Pospisil,male,,"Vernon, BC",Canada,Canada,193.0,84.0,active,Right,,47.0,
74560090,Dennis,Novak,Dennis Novak,D. Novak,male,,,Austria,Austria,183.0,80.0,active,Right,,,
74560091,Borna,Ćorić,Borna Ćorić,B. Ćorić,male,,Zagreb,Croatia,Croatia,188.0,85.0,active,Right,,42.0,
74560091,Philipp,Kohlschreiber,Philipp Kohlschreiber,P. Kohlschreiber,male,,Augsburg,Germany,Germany,178.0,70.0,active,Right,,,
